id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	otherCatalogNumbers	kingdom	phylum	class	order	family	scientificName	scientificNameAuthorship	genus	specificEpithet	taxonRank	infraspecificEpithet	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	taxonRemarks	identificationQualifier	typeStatus	recordedBy	recordedByID	associatedCollectors	recordNumber	eventDate	year	month	day	startDayOfYear	endDayOfYear	verbatimEventDate	occurrenceRemarks	habitat	substrate	verbatimAttributes	fieldNumber	informationWithheld	dataGeneralizations	dynamicProperties	associatedTaxa	reproductiveCondition	establishmentMeans	cultivationStatus	lifeStage	sex	individualCount	samplingProtocol	samplingEffort	preparations	country	stateProvince	county	municipality	locality	locationRemarks	localitySecurity	localitySecurityReason	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimCoordinates	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	verbatimElevation	disposition	language	recordEnteredBy	modified	sourcePrimaryKey-dbpk	collId	recordId	references
432508	ASU	ASUHIC		PreservedSpecimen	813b94ec-6577-4e5e-a471-581076d257c0	ASUHIC0014176		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-06-30	1962	6	30	181			found in burned area											0				can trap			USA	California	San Diego County		Wildcat Canyon		0		32.933646	-116.869053	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:813b94ec-6577-4e5e-a471-581076d257c0	http://scan-bugs.org/portal/collections/individual/index.php?occid=432508
432513	ASU	ASUHIC		PreservedSpecimen	1b7f9f95-18cc-494a-95fd-4d8ac6a76b9d	ASUHIC0014177		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-04-22	1962	4	22	112			found in burned area											0				can trap			USA	California	San Diego County		Wildcat Canyon		0		32.933646	-116.869053	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:1b7f9f95-18cc-494a-95fd-4d8ac6a76b9d	http://scan-bugs.org/portal/collections/individual/index.php?occid=432513
432515	ASU	ASUHIC		PreservedSpecimen	6f15b3d4-85a9-4842-9756-617e64a309bf	ASUHIC0014178		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-05-12	1962	5	12	132			found in burned area											0				can trap			USA	California	San Diego County		Wildcat Canyon		0		32.933646	-116.869053	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:6f15b3d4-85a9-4842-9756-617e64a309bf	http://scan-bugs.org/portal/collections/individual/index.php?occid=432515
432517	ASU	ASUHIC		PreservedSpecimen	0a196d36-0f00-4554-a3c3-e99acbd88e32	ASUHIC0014179		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-06-23	1962	6	23	174			found in burned area											0				can trap			USA	California	San Diego County		Wildcat Canyon		0		32.933646	-116.869053	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:0a196d36-0f00-4554-a3c3-e99acbd88e32	http://scan-bugs.org/portal/collections/individual/index.php?occid=432517
432519	ASU	ASUHIC		PreservedSpecimen	4b5410c1-97a4-4092-82de-19c24e636764	ASUHIC0014180		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-05-26	1962	5	26	146			found in burned area											0				can trap			USA	California	San Diego County		Wildcat Canyon		0		32.933646	-116.869053	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:4b5410c1-97a4-4092-82de-19c24e636764	http://scan-bugs.org/portal/collections/individual/index.php?occid=432519
432522	ASU	ASUHIC		PreservedSpecimen	9f9709bc-9115-4eba-a490-aa19cbab2de0	ASUHIC0014181		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1955-04-07	1955	4	7	97			found in sand											0							USA	California	San Diego County		Borrego		0		33.22111	-116.33333	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:9f9709bc-9115-4eba-a490-aa19cbab2de0	http://scan-bugs.org/portal/collections/individual/index.php?occid=432522
432523	ASU	ASUHIC		PreservedSpecimen	02c47b7c-c461-42f5-ad37-8a9b419fb4f4	ASUHIC0014182		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stephen Bair				1966-09-18	1966	9	18	261														0							USA	Arizona	Maricopa County		Granite Reef Dam		0		33.515932	-111.691827	WGS84			Stephanie Delgado		SCAN	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:02c47b7c-c461-42f5-ad37-8a9b419fb4f4	http://scan-bugs.org/portal/collections/individual/index.php?occid=432523
432524	ASU	ASUHIC		PreservedSpecimen	d19775e8-ccda-4d30-8236-af437897217e	ASUHIC0014183		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-05-05	1962	5	5	125	146	1962-05-05 to 1962-05-26	found in 1961 chaparral burn area											0				scorpion pitfall trap			USA	California	San Diego County		Wildcat Canyon, lakeside		0		32.913257	-116.927522	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:d19775e8-ccda-4d30-8236-af437897217e	http://scan-bugs.org/portal/collections/individual/index.php?occid=432524
432525	ASU	ASUHIC		PreservedSpecimen	1a0e7234-d892-4c5b-bab6-b709b53e624b	ASUHIC0014184		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-04-25	1962	4	25	115	146		found in chaparral burn area											0				scorpion pitfall trap			USA	California	San Diego County		Wildcat Canyon, lakeside		0		32.913257	-116.927522	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:1a0e7234-d892-4c5b-bab6-b709b53e624b	http://scan-bugs.org/portal/collections/individual/index.php?occid=432525
432526	ASU	ASUHIC		PreservedSpecimen	7f1c8551-d88b-468e-8092-3c8fbe717968	ASUHIC0014185		Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Nyctoporis carinata	LeConte, 1851	Nyctoporis	carinata			Charles A. Triplehorn	1967						Stanley C. Williams				1962-12-02	1962	12	2	336			found in chaparral burn area											0				scorpion pitfall trap			USA	California	San Diego County		Wildcat Canyon, lakeside		0		32.913257	-116.927522	WGS84			Stephanie Delgado		GeoLocate	requires verification										sdelgado	2015-08-11 12:51:11		1	urn:uuid:7f1c8551-d88b-468e-8092-3c8fbe717968	http://scan-bugs.org/portal/collections/individual/index.php?occid=432526
